"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.05.2024","36,69","37,31","37,42","36,52","66,95M","-1,66%"
"16.05.2024","37,31","38,32","38,65","37,25","83,17M","-2,84%"
"15.05.2024","38,40","37,56","38,81","37,52","130,92M","-6,04%"
"14.05.2024","40,87","40,69","41,30","40,17","53,51M","-1,80%"
"13.05.2024","41,62","41,75","41,93","41,51","18,29M","0,10%"
"10.05.2024","41,58","41,82","42,09","41,50","27,90M","-0,22%"
"09.05.2024","41,67","41,06","41,79","40,97","27,10M","0,97%"
"08.05.2024","41,27","40,37","41,32","40,31","25,15M","1,53%"
"07.05.2024","40,65","40,25","40,65","40,07","23,61M","1,22%"
"06.05.2024","40,16","39,88","40,36","39,76","22,87M","0,68%"
"03.05.2024","39,89","40,68","40,69","39,46","45,00M","-5,43%"
"02.05.2024","42,18","42,24","42,38","41,84","33,11M","0,38%"
"30.04.2024","42,02","42,01","42,21","41,66","36,52M","-0,31%"
"29.04.2024","42,15","41,48","42,15","41,32","27,74M","1,79%"
"26.04.2024","41,41","41,29","41,78","41,07","31,68M","0,70%"
"25.04.2024","41,12","40,32","41,37","40,01","65,99M","2,40%"
"24.04.2024","40,16","40,47","40,90","40,14","45,11M","-0,46%"
"23.04.2024","40,34","40,32","40,55","39,89","35,37M","-0,19%"
"22.04.2024","40,42","39,70","40,51","39,47","51,62M","-0,27%"
"19.04.2024","40,53","40,05","41,07","39,84","80,35M","1,71%"
"18.04.2024","39,85","40,00","40,59","39,65","45,01M","0,18%"
"17.04.2024","39,78","39,49","39,95","39,34","39,03M","0,73%"
"16.04.2024","39,49","39,01","39,71","38,95","37,10M","0,46%"
"15.04.2024","39,31","38,90","39,45","38,64","28,56M","0,95%"
"12.04.2024","38,94","39,72","40,05","38,70","39,57M","-0,92%"
"11.04.2024","39,30","39,60","39,76","39,20","33,00M","-0,73%"
"10.04.2024","39,59","38,73","39,73","38,66","55,68M","2,22%"
"09.04.2024","38,73","38,90","39,14","38,06","36,72M","0,26%"
"08.04.2024","38,63","38,03","39,06","37,73","36,22M","1,39%"
"05.04.2024","38,10","37,90","38,57","37,17","65,41M","0,58%"
"04.04.2024","37,88","38,47","39,48","37,43","165,57M","-1,41%"
"03.04.2024","38,42","38,70","39,01","38,22","31,38M","-0,52%"
"02.04.2024","38,62","37,82","38,65","37,77","45,76M","2,58%"
"01.04.2024","37,65","37,50","37,71","37,21","23,52M","0,78%"
"28.03.2024","37,36","36,50","37,52","36,47","31,84M","2,22%"
"27.03.2024","36,55","36,28","36,66","36,12","19,25M","0,80%"
"26.03.2024","36,26","36,67","36,67","36,17","24,73M","-0,93%"
"25.03.2024","36,60","36,18","36,83","36,16","26,80M","1,44%"
"23.03.2024","36,08","36,08","36,08","36,08","","0,08%"
"22.03.2024","36,05","35,90","36,22","35,43","34,33M","0,98%"
"21.03.2024","35,70","36,85","37,06","35,68","46,90M","-2,72%"
"20.03.2024","36,70","36,23","36,74","35,81","38,80M","1,75%"
"19.03.2024","36,07","36,39","36,85","35,56","48,35M","-0,74%"
"18.03.2024","36,34","36,41","36,72","35,50","35,15M","0,06%"
"15.03.2024","36,32","36,30","36,45","35,94","58,76M","0,28%"
"14.03.2024","36,22","36,74","36,92","36,15","39,70M","-0,44%"
"13.03.2024","36,38","36,90","37,33","36,31","44,74M","-1,19%"
"12.03.2024","36,82","36,35","37,23","36,16","75,94M","3,28%"
"11.03.2024","35,65","35,67","37,74","35,30","126,41M","-1,30%"
"08.03.2024","36,12","35,90","37,06","35,10","230,31M","-10,57%"
"07.03.2024","40,39","40,64","40,94","40,28","50,20M","-1,10%"
"06.03.2024","40,84","40,20","40,84","40,11","45,48M","2,20%"
"05.03.2024","39,96","40,10","40,37","39,61","30,29M","-0,30%"
"04.03.2024","40,08","40,27","40,75","40,02","21,99M","-0,25%"
"01.03.2024","40,18","40,35","40,85","40,14","31,24M","0,10%"
"29.02.2024","40,14","40,59","41,24","39,85","61,90M","-0,72%"
"28.02.2024","40,43","42,52","42,94","39,83","112,32M","-5,16%"
"27.02.2024","42,63","42,70","42,82","42,38","27,68M","-0,14%"
"26.02.2024","42,69","41,90","42,73","41,83","25,89M","1,89%"
"23.02.2024","41,90","42,14","42,24","41,61","43,89M","-0,69%"
"22.02.2024","42,19","42,67","42,68","41,80","32,16M","-0,75%"
"21.02.2024","42,51","42,45","42,72","42,13","20,87M","0,14%"
"20.02.2024","42,45","42,77","42,82","42,10","42,38M","-1,05%"
"19.02.2024","42,90","42,76","42,94","42,56","12,83M","0,49%"
"16.02.2024","42,69","42,09","42,89","42,06","37,19M","0,92%"
"15.02.2024","42,30","41,01","42,30","40,85","33,25M","3,20%"
